District,Return_Period_Years,Return_Level,Lower_CI,Upper_CI
Bogura,2,468.2,426.6,514.5
Bogura,5,595.0,536.4,644.4
Bogura,10,669.5,600.7,725.5
Bogura,25,753.9,656.0,840.5
Bogura,50,810.3,689.1,932.1
Bogura,100,861.4,715.5,1027.3
Natore,2,393.0,362.7,424.4
Natore,5,485.7,446.4,519.7
Natore,10,537.9,491.6,576.4
Natore,25,594.9,533.3,650.0
Natore,50,631.6,553.5,707.9
Natore,100,663.8,567.8,768.9
Pabna,2,394.3,354.6,440.7
Pabna,5,535.1,471.7,602.3
Pabna,10,634.6,543.3,735.6
Pabna,25,767.9,616.6,959.5
Pabna,50,872.7,662.3,1170.7
Pabna,100,981.9,708.8,1427.1
Rajshahi,2,380.3,349.5,413.1
Rajshahi,5,486.0,441.0,527.0
Rajshahi,10,554.0,492.7,609.1
Rajshahi,25,637.6,543.6,724.7
Rajshahi,50,698.2,574.9,823.1
Rajshahi,100,757.0,602.4,935.1
