District,Year,Water_Percent,Vegetation_Percent,Built_Up_Percent,Bare_Percent
Rajshahi,1985,7.43,44.15,0.0,48.42
Rajshahi,1998,25.24,50.13,0.0,24.63
Rajshahi,2011,7.54,35.41,12.26,44.8
Rajshahi,2023,9.23,64.34,14.18,12.24
Pabna,1985,11.34,36.96,0.0,51.7
Pabna,1998,24.15,57.98,0.0,17.88
Pabna,2011,8.39,49.55,12.06,30.0
Pabna,2023,2.69,50.12,8.39,38.81
Natore,1985,9.41,41.84,0.0,48.76
Natore,1998,25.03,43.56,0.0,31.4
Natore,2011,2.45,45.6,7.63,44.33
Natore,2023,7.07,48.66,14.73,29.54
Bogura,1985,6.05,43.64,0.0,50.31
Bogura,1998,19.49,61.07,0.0,19.43
Bogura,2011,4.28,57.51,12.95,25.26
Bogura,2023,3.91,38.99,12.06,45.04
