Month_Number,Month_Name,Rainfall_Bogura,Rainfall_Natore,Rainfall_Pabna,Rainfall_Rajshahi,Temperature_Temp_Bogura,Temperature_Temp_Natore,Temperature_Temp_Pabna,Temperature_Temp_Rajshahi,Humidity_Bogura,Humidity_Natore,Humidity_Pabna,Humidity_Rajshahi,WindSpeed_Bogura,WindSpeed_Natore,WindSpeed_Pabna,WindSpeed_Rajshahi
1,January,6.68627451,7.899607843,6.980392157,8.901960784,18.08098039,17.51392157,17.25352941,17.42803922,76.29392157,76.65921569,76.0672549,77.1354902,0.913137255,0.963823529,0.954705882,1.003333333
2,February,13.96078431,14.97490196,17.43137255,14.01960784,21.06392157,20.66490196,20.45039216,20.62352941,68.88333333,69.90078431,69.62313725,70.46627451,1.019019608,1.058313725,1.060392157,1.073137255
3,March,20.90196078,25.54215686,31.19607843,24.2745098,25.35411765,25.56098039,25.52470588,25.66392157,64.38647059,62.70156863,61.94215686,62.44137255,1.283921569,1.338980392,1.385882353,1.283529412
4,April,86.0,72.44215686,81.35294118,62.0,28.35137255,29.15411765,29.29980392,29.39647059,70.03784314,66.7272549,66.05352941,65.76196078,1.64372549,1.903019608,2.070588235,1.733529412
5,May,217.7843137,170.7917647,181.4313725,145.8627451,28.65176471,29.3845098,29.48470588,29.62411765,77.40921569,75.87568627,75.27490196,75.58901961,1.644509804,1.979686275,2.138627451,1.860980392
6,June,323.745098,264.0501961,270.6078431,236.254902,29.39666667,29.81392157,29.77372549,30.00411765,83.36098039,82.85352941,82.29568627,82.95960784,1.593333333,1.901705882,2.072745098,1.749411765
7,July,363.4705882,319.4678431,318.0980392,302.4313725,29.25215686,29.41745098,29.38196078,29.50529412,85.48490196,86.24509804,85.50039216,86.9672549,1.51627451,1.793176471,1.94745098,1.655098039
8,August,286.0,252.3205882,237.7843137,246.7843137,29.5245098,29.56372549,29.45627451,29.63764706,84.68117647,85.44666667,84.84588235,86.09039216,1.388823529,1.662215686,1.812941176,1.528823529
9,September,278.8431373,267.2413725,267.8039216,262.2352941,29.09666667,29.22215686,29.14333333,29.31647059,85.30431373,85.52254902,84.91235294,85.95019608,1.183529412,1.349803922,1.425490196,1.296470588
10,October,142.1764706,122.9280392,119.0588235,117.2941176,27.72745098,27.54980392,27.46784314,27.52176471,81.81686275,82.29235294,82.01196078,82.64098039,0.865490196,0.915039216,0.920980392,0.928039216
11,November,9.235294118,11.27392157,15.43137255,9.784313725,24.30392157,23.68156863,23.46431373,23.55235294,76.16176471,77.28137255,77.14392157,77.80941176,0.673333333,0.820470588,0.830980392,0.871372549
12,December,8.764705882,9.391764706,10.41176471,9.078431373,20.02627451,19.32313725,19.04686275,19.19372549,77.10196078,77.48,76.81784314,78.00117647,0.722156863,0.901372549,0.910980392,0.968823529
